Autor,Obra (Título),Notas/Descrição
São Tomás de Aquino,Suma Teológica,"Embora seja uma leitura densa, ler a estrutura de uma única questão (...) revela a mesma arquitetura lógica e ordenada de uma catedral."
"Wolfe, Tom",De Bauhaus à Nossa Casa (From Bauhaus to Our House),"Uma crítica ácida e divertida de como a arquitetura moderna, com as suas teorias abstratas e o seu desprezo pela tradição e pelo gosto popular, tornou as nossas cidades mais feias."
"Bachelard, Gaston",A Poética do Espaço,"Um livro filosófico que explora o significado psicológico e poético da ""casa"" e dos espaços que habitamos, ajudando-nos a entender o que perdemos quando vivemos em ""não-lugares""."
"Haskins, Charles Homer",O Renascimento do Século XII,"Uma obra clássica que revelou ao mundo moderno a explosão intelectual e cultural que ocorreu na Alta Idade Média, desfazendo o mito da ""Idade das Trevas""."
Papa São João Paulo II,Fé e Razão (Fides et Ratio),"Uma encíclica que explora a relação harmoniosa entre a fé e a razão, ecoando perfeitamente a mentalidade escolástica medieval."
"Le Goff, Jacques",Os Intelectuais na Idade Média,"Descreve o nascimento desta nova classe de homens, os intelectuais, e o ambiente vibrante das universidades."
"Gilson, Étienne",A Filosofia na Idade Média,"Uma das melhores introduções ao pensamento escolástico, explicando os seus métodos e os seus grandes temas."
São Tomás de Aquino,Suma Teológica,"Não tenha medo de a explorar. Escolha um tema que lhe interesse (as virtudes, a lei, a existência de Deus) e leia apenas um artigo. A sua clareza e a sua lógica são surpreendentes."
"Chesterton, G. K.",Introdução a São Tomás de Aquino,"Talvez a melhor e mais apaixonada introdução ao pensamento do ""Doutor Angélico"", escrita com o brilhantismo característico de Chesterton."
"Robson, Ronald",A Mente de Olavo de Carvalho,Uma introdução ao pensamento do filósofo brasileiro que mais profundamente diagnosticou e combateu a hegemonia da mentalidade revolucionária e do enfeiamento intelectual nas universidades brasileiras.
"Bloom, Allan",O Fechamento da Mente Americana,"A obra que, já em 1987, previu com uma clareza assustadora como a cultura do relativismo e da política de identidade iria destruir a verdadeira missão da universidade."
"Huizinga, Johan",O Outono da Idade Média,"Uma obra clássica que explora o ideal da cavalaria e a sua expressão na cultura, na arte e na vida da Baixa Idade Média."
"Malory, Sir Thomas",Le Morte d'Arthur,"A coletânea clássica das lendas do Rei Artur e dos Cavaleiros da Távola Redonda, que, embora seja ficção, é a maior expressão literária do ideal cavaleiresco."
"Keen, Maurice",Cavalaria,"Considerado o melhor estudo histórico sobre a cavalaria medieval, as suas origens, o seu código e o seu impacto na sociedade."
PESQUISA,A Canção de Rolando,"Um poema épico francês do século XI, que é uma das primeiras e mais poderosas expressões do ideal cavaleiresco, centrado na lealdade, na honra e no sacrifício pela fé."
"Fernández-Morera, Dario",The Myth of the Andalusian Paradise,"Um livro acadêmico que usa fontes árabes e cristãs para desconstruir o mito politicamente correto da ""convivência pacífica"" na Espanha islâmica, mostrando a realidade da jihad e da subjugação."
"Marques, A. H. de Oliveira",História de Portugal,Uma obra de referência para entender o longo processo da Reconquista e o papel central da Batalha de Ourique na formação da identidade nacional portuguesa.
"Boxer, C. R.","O Império Marítimo Português, 1415-1825","A obra de referência sobre a expansão portuguesa, mostrando a complexa interação entre os motivos religiosos, militares e comerciais."
"Lewis, C.S.",A Abolição do Homem,"Um livro profético que argumenta que a rejeição da lei natural e da virtude objetiva (o Tao) leva à criação de ""homens sem peito"", o oposto do ideal cavaleiresco."
"Fernández-Morera, Darío",O Mito do Paraíso Andaluz,"Um livro acadêmico essencial que desconstrói, com base em fontes primárias (cristãs e muçulmanas), o mito politicamente correto da ""convivência pacífica"" no Al-Andalus, revelando a realidade da jihad e da subjugação."
"Lomax, Derek W.",A Reconquista,Uma das melhores e mais completas histórias sobre o longo processo de libertação da Península Ibérica.
"Kennedy, Hugh",As Grandes Conquistas Árabes,Uma história militar e política detalhada da expansão islâmica inicial.
"Fregosi, Paul",Jihad in the West: Muslim Conquests from the 7th to the 21st Centuries,Uma obra abrangente que contextualiza a conquista da Espanha dentro da longa história da jihad.
PESQUISA,The Chronicle of 754,"Escrita por um cristão moçárabe a viver sob o domínio muçulmano, é a fonte quase contemporânea mais importante sobre a conquista."
"Taha, Abdulwahid Dhanun",The Muslim Conquest and Settlement of North Africa and Spain,"Oferece a perspectiva muçulmana da conquista, baseada em fontes árabes."
"Fernández-Morera, Darío",O Mito do Paraíso Andaluz,"O livro mais importante para desconstruir esta fantasia histórica, usando fontes primárias para revelar a verdadeira natureza da vida sob o domínio islâmico."
"Cohen, Mark R.",Sob o Domínio da Meia-Lua: Judeus na Idade Média Islâmica,"Um estudo que, embora focado na experiência judaica, detalha o status legal e social dos dhimmis."
"Reston Jr., James",Guerreiros de Deus: Ricardo Coração de Leão e Saladino na Terceira Cruzada,"Embora sobre as Cruzadas, o livro descreve vividamente o choque de civilizações no Mediterrâneo."
São Tomás de Aquino,"Suma Teológica (Segunda parte da Segunda parte, Questão 40)",O artigo onde São Tomás estabelece os critérios para a guerra justa.
"Fernández-Morera, Darío",O Mito do Paraíso Andaluz,"A obra definitiva que, usando fontes primárias árabes e cristãs, desmascara a fantasia da ""convivência pacífica"" e detalha a realidade da subjugação."
"Kennedy, Hugh",Espanha Muçulmana e Portugal,"Uma história abrangente do período, útil para entender a estrutura política e social do Al-Andalus."
"Fernández-Morera, Darío",O Mito do Paraíso Andaluz,Essencial. O autor disseca as fontes primárias e expõe a falsidade da narrativa acadêmica moderna.
"Cobb, Paul",As Cruzadas de um Ponto de Vista Islâmico,"Embora focado noutro período, ajuda a entender a mentalidade islâmica medieval sobre a guerra e a relação com os ""povos do livro""."
"Stark, Rodney",God's Battalions: The Case for the Crusades,Stark dedica a primeira parte do livro a descrever em detalhe a agressão islâmica sistemática contra a Europa nos séculos que antecederam a Primeira Cruzada.
"Pirenne, Henri",A Pirenne Thesis,"A famosa tese do historiador belga de que não foram as invasões germânicas, mas sim a conquista islâmica do Mediterrâneo, que verdadeiramente acabou com o mundo antigo e deu início à Idade Média."
"Kirk, Russell",A Mente Cauterizada,Kirk analisa como a perda da imaginação moral e da base religiosa torna a mente moderna vulnerável a ideologias totalitárias.
"Bloom, Allan",O Fechamento da Mente Americana,"A obra que diagnosticou, já nos anos 80, como o relativismo estava a destruir a capacidade da universidade de ensinar sobre a verdade e o bem."
"Lomax, Derek W.",A Reconquista,"Uma das melhores e mais completas histórias sobre o longo processo de libertação da Península Ibérica, com excelente detalhe sobre os primeiros reinos da resistência."
"O'Callaghan, Joseph F.",From Islamic to Christian Conquest: The Medieval Realms of Spain,Uma obra acadêmica detalhada sobre a transição política e social durante a Reconquista.
"Corção, Gustavo","Obras (ex: ""O Século do Nada"")","Embora não seja um historiador, o pensador católico brasileiro (...) analisa a importância da luta contra as forças que dissolvem a Cristandade, um espírito perfeitamente encarnado por Carlos Martel."
"Riley-Smith, Jonathan","The Crusades, Christianity, and Islam",Contextualiza batalhas como Poitiers dentro da longa história da resposta cristã à expansão islâmica.
PESQUISA,Crônicas Asturianas (ex: Crônica de Afonso III),As fontes primárias (...) que narram a história de Pelágio e Covadonga com o tom de uma epopeia sagrada.
"Mattoso, José",A Formação de Portugal (1070-1250),"Embora focado em Portugal, este grande historiador português analisa as origens da Reconquista e a mentalidade dos reinos cristãos primitivos."
Eginhardo,Vida de Carlos Magno (Vita Karoli Magni),"A biografia descreve as campanhas de Carlos Magno na Espanha, incluindo a famosa e trágica Batalha de Roncesvales, que deu origem à ""Canção de Rolando""."
"O'Callaghan, Joseph F.",A History of Medieval Spain,Cobre em detalhe a formação da Marca Hispanica e a interação entre os reinos francos e os emergentes reinos cristãos da Ibéria.
"Stark, Rodney",God's Battalions: The Case for the Crusades,"Usando fontes primárias, Stark desmente metodicamente os mitos modernos e apresenta o caso histórico para as Cruzadas como uma guerra defensiva e justificada."
"Runciman, Steven",A History of the Crusades (3 volumes),"A obra monumental e clássica sobre o tema. Embora com um tom por vezes crítico, a sua erudição e detalhe são inigualáveis."
PESQUISA,"Sermão do Papa Urbano II em Clermont (versões de Fulcher de Chartres, Roberto, o Monge)",Ler as suas palavras é sentir a força retórica que moveu um continente.
"Asbridge, Thomas",The First Crusade: A New History,"Um relato vívido e detalhado da Primeira Cruzada, desde o chamado em Clermont até à conquista de Jerusalém."
"Barber, Malcolm",The New Knighthood: A History of the Order of the Temple,"O livro detalha como o sucesso da Primeira Cruzada e a necessidade de proteger os peregrinos levaram à criação das ordens militares, como os Templários."
PESQUISA,Chronicles of the First Crusade (tradução de Peters e Krey),"Uma coleção de relatos de testemunhas oculares da Cruzada, que nos permite ver os eventos através dos olhos de quem os viveu."
"Waterson, John",Acre 1291: The End of the Crusades,Um relato detalhado e emocionante da última grande batalha dos reinos cruzados.
"Cortesão, Jaime",Os Descobrimentos Portugueses,"Uma obra que, embora com a sua própria visão, ajuda a entender a transição do espírito cruzado do Mediterrâneo para o Atlântico."
"Read, Piers Paul",Os Templários: A Dramática História da Ordem Militar que se Tornou a Mais Poderosa e Secreta da Cristandade,"Uma narrativa envolvente e bem pesquisada, que cobre desde a fundação até à supressão da ordem."
"Barber, Malcolm",O Julgamento dos Templários,"A obra acadêmica definitiva sobre o processo fraudulento que levou à destruição dos Templários, analisando as acusações, as confissões sob tortura e as motivações políticas."
São Bernardo de Claraval,Em Louvor da Nova Cavalaria,Um texto curto e fundamental para entender a justificativa teológica e o ideal espiritual por trás dos Templários.
"Jones, Dan",The Templars: The Rise and Spectacular Fall of God's Holy Warriors,Uma história moderna e muito bem narrada da ascensão e queda da ordem.
"Barber, Malcolm",O Julgamento dos Templários,"A análise mais detalhada do processo, mostrando como as acusações eram inconsistentes e como a tortura foi o fator decisivo."
"Druon, Maurice",Os Reis Malditos (série de romances),Uma obra de ficção histórica que começa precisamente com a maldição de Jacques de Molay na fogueira e narra as desgraças que se abateram sobre a coroa francesa.
"Read, Piers Paul",Os Templários,O livro narra em detalhe o processo de supressão e a solução única encontrada por Portugal.
"Marques, A. H. de Oliveira",História de Portugal,A obra detalha o reinado de Dom Dinis e a sua importância na consolidação do reino e na criação da Ordem de Cristo.
"Lomax, Derek W.",A Reconquista,"Uma das melhores e mais completas histórias sobre o longo processo de libertação da Península Ibérica, com excelente detalhe sobre a formação dos reinos cristãos."
"Marques, A. H. de Oliveira",História de Portugal,Uma obra de referência para entender o contexto político e social da fundação de Portugal.
"Camões, Luís de",Os Lusíadas,"O poema épico nacional português narra a história de Portugal como uma sucessão de feitos heroicos guiados pela Providência, com a Batalha de Ourique como um dos seus momentos fundadores."
"Serrão, Joaquim Veríssimo",História de Portugal,Oferece uma análise histórica detalhada do reinado de Afonso Henriques e da importância de Ourique.
"Mattoso, José",D. Afonso Henriques,"Considerada a biografia definitiva do primeiro rei de Portugal, escrita por um dos maiores medievalistas portugueses."
PESQUISA,"A Fundação de Portugal, volume da ""Nova História de Portugal"" (dir. Joel Serrão e A. H. de Oliveira Marques)",Detalha o complexo contexto político da independência portuguesa.
"Barros, José Manuel de",Os Cavaleiros de Cristo: De Templários a Navegantes,Um livro focado na transição da Ordem do Templo para a Ordem de Cristo e o seu papel central nas navegações.
"Godinho, Vitorino Magalhães",A Expansão Quatrocentista Portuguesa,"Uma análise clássica sobre as motivações econômicas, políticas e sociais que impulsionaram os descobrimentos."
"Huizinga, Johan",Da Idade Média à Renascença,"Uma análise clássica da mentalidade do final da Idade Média, mostrando como os ideais de cavalaria e piedade coexistiam com as novas correntes humanistas."
"Stuart, Joseph T.",Rethinking the Enlightenment: Faith in the Age of Reason,"Um livro que desafia a narrativa de que o Iluminismo foi puramente secular, mostrando as suas complexas relações com a fé."
Papa São João Paulo II,Fides et Ratio (Fé e Razão),"Uma encíclica fundamental que diagnostica a separação entre fé e razão como a grande tragédia do pensamento moderno, uma separação que começa a ganhar força no Renascimento."
"Burckhardt, Jacob",A Civilização do Renascimento na Itália,A obra clássica do século XIX que definiu o Renascimento como o berço do individualismo moderno.
"Maquiavel, Nicolau",O Príncipe,"O produto mais extremo e cínico do humanismo florentino. Um manual sobre como adquirir e manter o poder, onde a moralidade cristã é vista como um obstáculo."
"Vasari, Giorgio",Vidas dos Artistas,"A primeira história da arte, que ajudou a criar o culto à personalidade dos grandes artistas do Renascimento, tratando-os como gênios quase divinos."
Papa São João Paulo II,Fides et Ratio (Fé e Razão),A encíclica explica de forma magistral como esta separação entre fé e razão está na raiz da crise do pensamento moderno.
"Eco, Umberto",O Nome da Rosa,"O personagem do monge franciscano, Guilherme de Baskerville, é um nominalista e representa perfeitamente esta nova forma de pensar, cética e focada no individual, em contraste com a antiga ordem tomista."
"Stone, Irving",Agonia e Êxtase,"Uma biografia romanceada de Michelangelo que, apesar da ficção, capta perfeitamente a nova mentalidade do ""artista como gênio"" em conflito com o poder."
"Wolfe, Tom",De Bauhaus à Nossa Casa (From Bauhaus to Our House),"Uma crítica demolidora a como a arquitetura moderna se tornou uma ditadura de teorias abstratas impostas por ""gênios"" que desprezam o gosto e as necessidades das pessoas comuns."
"Chesterton, G.K.",Os Limites do Iluminismo (ensaio),"Uma crítica brilhante que mostra como a razão, quando isolada de outras formas de conhecimento, torna-se uma forma de loucura."
"Dawson, Christopher (e outros)","The Church and the Age of Enlightenment, 1648-1848 (Aquila Press)","Uma análise católica do período, mostrando a complexa relação entre a Igreja e os pensadores iluministas."
"Descartes, René",Discurso do Método,"Leia a fonte primária. É um livro curto e surpreendentemente acessível, onde Descartes narra a sua jornada intelectual para a descoberta do Cogito."
Voltaire,"Cândido, ou o Otimismo",A sua obra mais famosa. Uma sátira brilhante que usa o humor e a tragédia para atacar a ideia de uma providência divina.
"Chesterton, G.K.",Ortodoxia,"Um dos livros mais importantes do século XX. O capítulo ""A loucura do universo"" é uma defesa brilhante da sanidade do senso comum e da fé contra a lógica circular dos ideólogos."
"Gilson, Étienne",O Herge Contra o Mundo Moderno,Um grande historiador da filosofia medieval que mostra como o abandono da síntese tomista levou às crises do pensamento moderno.
"Rousseau, Jean-Jacques",O Contrato Social,É crucial ler a obra original para entender o perigo das suas ideias aparentemente belas.
"Burke, Edmund",Reflexões sobre a Revolução na França,"A crítica mais poderosa já escrita contra a mentalidade revolucionária. Burke previu, em 1790, que as ideias abstratas de liberdade dos revolucionários levariam inevitavelmente ao terror e à tirania militar."
"Burke, Edmund",Reflexões sobre a Revolução na França,"Escrito em 1790, no início da revolução, é a crítica mais poderosa e profética já feita à mentalidade revolucionária. Burke previu o Terror, a tirania e o caos militar anos antes de acontecerem."
"France, Anatole",Os Deuses Têm Sede,Um romance histórico que retrata de forma brilhante o clima de paranoia e a psicologia dos revolucionários durante o auge do Terror jacobino.
"Schama, Simon",Cidadãos: Uma Crônica da Revolução Francesa,Uma narrativa detalhada e vívida que não foge da violência e da brutalidade da revolução desde os seus primeiros dias.
"Kennedy, Michael L.",The Jacobin Clubs in the French Revolution,"Analisa o papel dos ""clubes"" (as células revolucionárias) na organização e na incitação de eventos como a Queda da Bastilha."
PESQUISA (Obra coletiva),O Livro Negro da Revolução Francesa,"Um compêndio que detalha os crimes e os genocídios cometidos pela Revolução, especialmente o da Vendeia."
"Burke, Edmund",Reflexões sobre a Revolução na França,"Burke previu que a destruição da religião e da tradição levaria a um tipo de tirania nunca antes vista, e a Vendeia foi a prova trágica da sua profecia."
"Aron, Raymond",O Ópio dos Intelectuais,"Uma crítica devastadora à mentalidade de esquerda no século XX, mostrando como a ""revolução"" se tornou uma religião secular para muitos intelectuais."
"Carvalho, Olavo de",A Mentalidade Revolucionária,"Uma análise profunda sobre a psicologia do revolucionário, que, segundo o autor, vive num mundo invertido onde a destruição é vista como um ato de criação."
"Roberts, Andrew",Napoleão: Uma Vida,"Considerada a biografia definitiva de Napoleão, detalha as suas campanhas e a sua mentalidade, permitindo entender a escala da ameaça que ele representava."
"Gomes, Laurentino",1808,"Embora com um viés que por vezes romantiza a figura de Napoleão, o livro é uma reportagem histórica indispensável sobre a transferência da corte portuguesa, repleta de detalhes vívidos."
"Oman, Charles",Guerra Peninsular,A obra clássica em vários volumes sobre a brutal guerra que se seguiu à invasão francesa na Espanha e em Portugal.
"Mikaberidze, Alexander",The Napoleonic Wars: A Global History,Ajuda a contextualizar a invasão da Península Ibérica dentro da estratégia global de Napoleão.
"Lima, Oliveira",D. João VI no Brasil,"A biografia que resgata a figura de Dom João, não como a caricatura, mas como o estadista que efetivamente fundou o Brasil como nação independente."
"Gomes, Laurentino",1808,A sua descrição da viagem da corte e da transformação do Rio de Janeiro é uma narrativa jornalística vívida e repleta de detalhes.
"Boxer, C. R.","O Império Marítimo Português, 1415-1825",A obra ajuda a entender a longa duração e a mentalidade consistentemente missionária da expansão portuguesa.
"Lambert, Frank",The Founding Fathers and the Place of Religion in America,"Um estudo sobre o complexo e muitas vezes contraditório papel da religião na fundação dos EUA, útil para contrastar com a união explícita entre fé e Estado em Portugal."
"Camões, Luís de",Os Lusíadas,"O poema épico nacional português. Não é apenas literatura; é a fonte primária para entender a alma, a fé, as glórias e as angústias do povo que se lançou aos mares."
"Gomes, Ronny",The Portuguese in the Age of Discovery,Uma obra moderna e acessível que cobre os principais eventos e personagens das navegações portuguesas.
"Caminha, Pero Vaz de",A Carta de Pero Vaz de Caminha,Leia o documento fundador do Brasil na íntegra. É a janela mais pura para a mentalidade e as intenções dos homens que aqui chegaram.
"Velho, Álvaro (atribuído)",Diário da Viagem de Vasco da Gama,"O relato em primeira mão da épica viagem à Índia, detalhando os perigos e as maravilhas da jornada."
"Russell, Peter",Príncipe Henrique o Navegador,A biografia definitiva que mostra como a piedade profunda e a mentalidade cruzadista de D. Henrique foram o motor por trás do início dos descobrimentos.
"Stark, Rodney","Vitória da Razão: Como o Cristianismo Gerou a Liberdade, o Capitalismo e o Sucesso do Ocidente","Stark argumenta que a própria ideia de investimento de longo prazo e de inovação foi fomentada pela ética cristã, um contraponto à ideia de que a Igreja era ""anti-progresso""."
"Leite, Serafim",História da Companhia de Jesus no Brasil,"Uma obra monumental que documenta o trabalho extraordinário dos jesuítas no Brasil, na educação, na proteção dos indígenas e na formação da nossa cultura."
"Ferguson, Niall",O Império: Como a Grã-Bretanha Fez o Mundo Moderno,"Embora apologético, o livro é útil para entender a mentalidade e os métodos do Império Britânico, permitindo um contraste claro com o modelo português."
"Crowley, Roger",Impérios do Mar: A Batalha Final pelo Mediterrâneo,"Embora focado no conflito entre otomanos e espanhóis, o livro é uma aula sobre a mentalidade e os métodos do Império Espanhol no seu auge."
"Disney, A. R.","O Império Português, 1415-1825","Uma história abrangente e equilibrada da expansão portuguesa, permitindo uma visão geral das suas diferentes fases e características."
"Bown, Stephen R.",1494: Como uma Aventura nos Trópicos Mudou o Mundo,Um livro inteiramente dedicado ao Tratado de Tordesilhas e às suas vastas consequências geopolíticas.
"Kissinger, Henry",História das Relações Internacionais,"Ajuda a contextualizar Tordesilhas como um dos primeiros grandes atos de diplomacia global, em contraste com o sistema de equilíbrio de poder que surgiria depois."
"Todorov, Tzvetan",A Conquista da América: A Questão do Outro,"Uma análise filosófica do choque cultural entre espanhóis e indígenas, explorando as diferentes formas de perceber ""o outro""."
"Ferguson, Niall",Império: Como a Grã-Bretanha Fez o Mundo Moderno,"Embora apologético, o livro é útil para entender a mentalidade mercantil e, por vezes, racialmente excludente do Império Britânico."
"Restall, Matthew",Os Sete Mitos da Conquista Espanhola,"Um livro que, ao desconstruir os mitos sobre os espanhóis, ajuda, por contraste, a entender melhor a singularidade do modelo português."
"Leite, Serafim",História da Companhia de Jesus no Brasil,"A obra monumental que documenta, em detalhe, o trabalho civilizacional dos jesuítas, a mais pura expressão da ""missão portuguesa""."
"Gouvêa, Maria de Fátima Silva (org.)",O Brasil no Contexto 1789-1889,Uma coletânea de ensaios que ajuda a situar a história do Império do Brasil no panorama político e intelectual do século XIX.
"Torres, João Camilo de Oliveira",A Alma do Brasil,"Uma obra clássica que busca definir a identidade brasileira através das suas raízes históricas, culturais e religiosas."
"Leite, Serafim",História da Companhia de Jesus no Brasil (10 volumes),"A obra mais monumental e detalhada sobre o trabalho dos jesuítas, um tesouro de informações sobre a formação da nossa cultura."
"Barros, A. J.",O Conceito Zero: Uma Trama Internacional para a Independência da Amazônia,"Embora focado em tempos modernos, o livro resgata a importância histórica da defesa das nossas fronteiras amazônicas."
PESQUISA,Causa de Beatificação dos Protomártires do Brasil,O processo em andamento no Vaticano reuniu uma vasta documentação histórica sobre estes primeiros mártires.
"Hoornaert, Riolando (e outros)",História da Igreja no Brasil,Oferece o contexto das primeiras missões e dos primeiros conflitos religiosos no Brasil.
PESQUISA,"A Missão (Filme, 1986)","Assista ao filme com este novo olhar. Preste atenção à trilha sonora de Ennio Morricone, que capta a beleza e a tragédia da experiência jesuítica."
"Bosi, Alfredo",A Outra Margem do Ocidente,"Um ensaio profundo sobre o encontro cultural no Brasil colonial, com uma análise sensível da obra dos jesuítas."
"Barros, A. J.",O Conceito Zero: Uma Trama Internacional para a Independência da Amazônia,Essencial para conectar a defesa histórica da Amazônia com as ameaças geopolíticas de hoje.
"Holanda, Olavo de",As Muralhas dos Sertões,"Um estudo sobre as fortificações no Brasil colonial, mostrando a sua importância estratégica e a sua arquitetura."
"Holanda, Sérgio Buarque de",Raízes do Brasil,"Embora com uma visão por vezes crítica, a sua análise do ""homem cordial"" e da herança personalista portuguesa é fundamental para entender a psicologia social do Império."
"Carvalho, José Murilo de",O Império do Brasil,"Uma das obras de referência para compreender a estrutura política, social e econômica do período imperial."
"Berger, Paulo",História da Cidade do Rio de Janeiro,"Uma obra detalhada sobre a fundação e o desenvolvimento da cidade, com ênfase nos primeiros conflitos."
"Knivet, Anthony",As Incríveis Aventuras e Estranhos Infortúnios de Anthony Knivet,"Relato de um corsário inglês que viveu no Brasil no final do século XVI, oferecendo uma visão externa sobre os conflitos da época."
"Magalhães Júnior, R.","Princesa Isabel, a Redentora",Uma biografia que destaca o papel central e a motivação da princesa no processo abolicionista.
"Nabuco, Joaquim",O Abolicionismo,"Nabuco, um monarquista e abolicionista, descreve com clareza o ambiente político da época e o conflito entre os ideais morais e os interesses econômicos."
"Caldeira, Jorge",Mauá: Empresário do Império,"A biografia definitiva, que resgata a figura de Mauá como um dos maiores capitalistas do século XIX em escala mundial."
"Prado Jr., Caio",História Econômica do Brasil,"Embora de um autor marxista, a sua análise das estruturas econômicas do Império é útil para entender o ambiente em que Mauá atuou e os obstáculos que enfrentou."
"Barman, Roderick J.","Citizen Emperor: Pedro II and the Making of Brazil, 1825-1891",Uma biografia que detalha o papel central de Dom Pedro II na consolidação das instituições políticas e culturais do Brasil.
"Macaulay, Neill",The Dawn of the Brasilian Empire,"Focado no período de Dom Pedro I, mostra o esforço inicial para criar as instituições de um novo império independente."
"Vasconcellos, Eliane",Uma História da Biblioteca Nacional,"Narra a saga da Biblioteca Real, desde a sua fuga de Lisboa até se tornar a grande instituição que é hoje."
PESQUISA,"Fitzcarraldo (Filme de Werner Herzog, 1982)","Embora seja uma ficção (...), capta perfeitamente a obsessão e a ambição quase louca da época de levar a alta cultura europeia para o coração da selva sul-americana."
"Cruz, José Marques da",História do Colégio Pedro II,"Uma obra que documenta a trajetória da instituição, os seus currículos e os seus alunos ilustres."
"Bauer, Susan Wise",A Mente Bem Treinada,Um guia moderno que explica os princípios da educação clássica (Trivium/Quadrivium) que inspiraram instituições como o Colégio Pedro II.
"Carvalho, José Murilo de",O Império do Brasil,"A obra oferece uma visão panorâmica da estrutura do Estado imperial, deixando clara a sua complexidade e a sua autonomia."
"Chernow, Ron",The Founders: A História da Geração que Criou os Estados Unidos,Ler sobre a construção das instituições americanas e compará-las com as brasileiras (...) é um exercício fascinante...
"PESQUISA (Cepese, 2018)",Entre Mares: O Brasil dos Portugueses,Uma visão transatlântica essencial para entender a unidade e a simbiose do império luso-brasileiro.
"Ferreira, Fátima Sá e Melo",Rebeldes e Insubmissos: Resistências Populares ao Liberalismo (1834-1844),Ajuda a compreender a mentalidade popular de lealdade monárquica contra as abstrações liberais.
PESQUISA,Hino da Independência do Brasil (letra original de Evaristo da Veiga),"Ler (...) especialmente as estrofes omitidas que mencionam o ""Real Herdeiro Augusto"" e o ""Anjo do Brasil""."
"Rezzutti, Paulo",Leopoldina: a história não contida,Uma biografia que resgata o papel intelectual e político crucial da Imperatriz na Independência.
PESQUISA,Texto da Constituição Política do Império do Brasil (de 1824),Ler (...) especialmente o Artigo 179. A sua clareza e concisão são uma lição de direito.
"Vasconcelos, B. L. de",História Constitucional do Brasil,Uma análise clássica sobre a evolução das nossas constituições.
"Lustosa, Isabel",Dom Pedro I,"Uma biografia que explora a complexa personalidade do imperador, incluindo os seus últimos e turbulentos anos em Portugal."
"Soriano, Simão José da Luz",História da Guerra Civil e do Estabelecimento do Governo Parlamentar em Portugal,Uma fonte histórica detalhada sobre a guerra entre Dom Pedro e Dom Miguel.
"Holanda, Sérgio Buarque de",O Brasil Imperial (3 volumes),"Uma obra fundamental da nossa historiografia, que analisa a estrutura social, política e cultural do Império."
"Barman, Roderick J.",The Brazilian Empire: Myths and Histories,"Um livro que desafia muitas das narrativas convencionais sobre o Império, mostrando a sua complexidade e os seus sucessos."
"Ferreira, Fátima Sá e Melo",Rebeldes e Insubmissos: Resistências Populares ao Liberalismo (1834-1844),Uma análise que (...) enfatiza a mentalidade de lealdade monárquica do povo contra as abstrações liberais dos políticos.
"Carvalho, José Murilo de",A Formação das Almas: O Imaginário da República no Brasil,"Explora a mentalidade popular e como a figura do monarca era vista como um símbolo de justiça e de ordem, em contraste com a desconfiança em relação aos políticos."
"Carvalho, José Murilo de",D. Pedro II,"Uma biografia que, apesar do viés do autor, não consegue esconder a grandeza intelectual e moral do monarca."
"Doratioto, Francisco",Maldita Guerra,"A obra mais completa sobre a Guerra do Paraguai, que ajuda a desmentir mitos e a entender a complexidade do maior conflito da história da América do Sul."
"Magalhães Júnior, R.","Princesa Isabel, a Redentora",Uma biografia que destaca o papel central e a motivação da princesa no processo abolicionista.
"Pereira, Merval",A Última Viagem da Redentora,Narra o retorno dos restos mortais de Isabel e do Conde d'Eu ao Brasil na década de 1950 e o reconhecimento tardio do seu sacrifício.
"Lins, Ivan",O Positivismo no Brasil,A análise mais completa sobre a influência da filosofia de Comte na política e na cultura brasileira.
"Carvalho, José Murilo de",A Ideia de República no Brasil,"Mostra os diferentes projetos de república que estavam em disputa, com destaque para a visão autoritária dos positivistas."
"Carvalho, José Murilo de",O Imperador no Exílio,Um relato comovente dos últimos e melancólicos anos de Dom Pedro II em Paris.
"Castilho e Maranhão, Annita de",O Sol do Desterro: A Família Imperial no Exílio,"Um livro que se foca na vida da Princesa Isabel e da sua família após a expulsão, mostrando a sua profunda fé e o seu amor inabalável pelo Brasil."
PESQUISA,Debates e propaganda eleitoral do plebiscito de 1993 (no YouTube),"É um exercício fascinante para ver, com os seus próprios olhos, as táticas de propaganda em ação."
"Oliveira, Francisco de (e outros)",Por que o Brasil não deu certo?,"Uma coletânea de ensaios que, embora de perspetiva de esquerda, ajuda a entender o sentimento de frustração nacional que levou à convocação do plebiscito."
Lira Neto,Getúlio (trilogia),"A biografia mais completa e detalhada sobre Getúlio Vargas, essencial para compreender a sua complexa personalidade e as suas manobras políticas."
"Fausto, J. D.",Vargas and Brazil: A Political History,Uma análise mais concisa e acadêmica do impacto de Vargas na formação do Estado brasileiro moderno.
"Payne, Stanley G.","Uma História do Fascismo, 1914-1945",Um estudo comparativo que ajuda a entender a ideologia corporativista do fascismo italiano e as suas semelhanças com o modelo varguista.
"Gomes, Ângela de Castro",A Invenção do Trabalhismo,"Uma obra que analisa como o governo Vargas construiu, através da propaganda, a imagem de Getúlio como o ""pai dos trabalhadores""."
"Braga, Rubem",A Cobra Vai Fumar,"As crônicas de Braga, que acompanhou a FEB como correspondente de guerra, são um testemunho vívido e humano da experiência dos soldados brasileiros na Itália."
